slug,name,production_state,listing_category,exam_streams,course_groups,education_levels,exam_filter_version,logo_action,current_logo
"abvmu-cahet","ABVMU CAHET","active","Entrance","Medical","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/7974ac35d33421f299270a95.webp"
"abvmu-cnet","ABVMU CNET","active","Entrance","Medical | Nursing","Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/7974ac35d33421f299270a95.webp"
"anu-pgcet","Acharya Nagarjuna University Post Graduate Common Entrance Test","active","Entrance","General","Multiple Courses","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/a2/a22b1056cbdbf8a7819dd93e08966da59edef387ad8c9c2fb56a9c9e9c66a6aa.webp"
"iai-acet","Actuarial Common Entrance Test","active","Entrance","Science","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4036574d0e9b60410a880e7e.webp"
"aeee","AEEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3498f605b727cbdfb79fbe0a.webp"
"afcat","AFCAT","active","Sarkari","Engineering | Medical | Aviation | Defence | Government","B.E. / B.Tech | Government Recruitment","UG | 12th | 10th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/73/7316ee188718c21dbc07a28620ec53b92088a19e1a8f780514acf0d8c9619485.webp"
"agniveervayu","Agniveervayu","active","Sarkari","Medical | Aviation | Defence | Government","Diploma/Polytechnic | Government Recruitment","UG | 12th","1","unresolved",""
"ap-agricet","AGRICET","active","Entrance","Agriculture","Diploma/Polytechnic | Agriculture","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/21dc29c965e8bd7f4a9acc75.webp"
"aiapget","AIAPGET","active","Entrance","Medical","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"aibe","AIBE XXI","active","Entrance","Law | Arts","LL.B.","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/d3b71c381647517054985df3.webp"
"aiims-bsc-nursing","AIIMS B.Sc. (Hons.) Nursing Entrance","active","Entrance","Medical | Nursing","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"aiims-bsc-nursing-post-basic","AIIMS B.Sc. Nursing (Post-Basic) Entrance","active","Entrance","Medical | Nursing","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"aiims-bsc-paramedical","AIIMS B.Sc. Paramedical Entrance","active","Entrance","Medical","B.Sc.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"aiims-msc-nursing","AIIMS M.Sc. Nursing Entrance","active","Entrance","Medical | Nursing | Science","B.Sc. | M.Sc. | Nursing","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"ailet","AILET","active","Entrance","Law","Law PG","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/b11ab4a1df56336b391defca.webp"
