slug,short_name,full_name,logo_status,logo,source_page,source_url,review_note
"abvmu-cahet","CAHET","Common Allied Healthcare Entrance Test","official_source_reviewed","/exam-logos/official-v1/7974ac35d33421f299270a95.webp","https://www.abvmuup.edu.in/admission-paramedical.php","https://www.abvmuup.edu.in/assets/images/emblem-dark.png",""
"abvmu-cnet","CNET","Common Nursing Entrance Test","official_source_reviewed","/exam-logos/official-v1/7974ac35d33421f299270a95.webp","https://www.abvmuup.edu.in/admission-paramedical.php","https://www.abvmuup.edu.in/assets/images/emblem-dark.png",""
"anu-pgcet","ANU PGCET","Acharya Nagarjuna University Post Graduate Common Entrance Test","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/a2/a22b1056cbdbf8a7819dd93e08966da59edef387ad8c9c2fb56a9c9e9c66a6aa.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/a2/a22b1056cbdbf8a7819dd93e08966da59edef387ad8c9c2fb56a9c9e9c66a6aa.webp",""
"iai-acet","IAI ACET","Actuarial Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/4036574d0e9b60410a880e7e.webp","https://actuariesindia.org/acet","https://actuariesindia.org/themes/iai/images/logo.png",""
"aeee","AEEE","Amrita Entrance Examination - Engineering (AEEE)","official_source_reviewed","/exam-logos/official-v1/3498f605b727cbdfb79fbe0a.webp","https://aeee.amrita.edu/","https://webfiles.amrita.edu/2024/04/ZvmNQEuB-amrita-vishwa-vidyapeetham-university-logo-white-version.svg",""
"afcat","AFCAT","Air Force Common Admission Test","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/73/7316ee188718c21dbc07a28620ec53b92088a19e1a8f780514acf0d8c9619485.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/73/7316ee188718c21dbc07a28620ec53b92088a19e1a8f780514acf0d8c9619485.webp",""
"agniveervayu","Agniveervayu","Indian Air Force Agniveervayu Selection Test","unresolved","","","","Official recruitment site returned HTTP 503; alternate Indian Air Force host timed out. No verified downloadable mark."
"ap-agricet","AGRICET","ANGRAU Agriculture Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/21dc29c965e8bd7f4a9acc75.webp","https://angrauagricet.aptonline.in/AGRICET/AGRICET_HomePage","https://angrauagricet.aptonline.in/images/ANGRAU.jpg",""
"aiapget","AIAPGET","All India Ayush Post Graduate Entrance Test","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp","https://nta.ac.in/cuetexam","https://nta.ac.in/img/NTA_logo.png",""
"aibe","AIBE","All India Bar Examination XXI","official_source_reviewed","/exam-logos/official-v1/d3b71c381647517054985df3.webp","https://www.allindiabarexamination.com/","https://www.allindiabarexamination.com/images/logo-2.png",""
"aiims-bsc-nursing","AIIMS B.Sc. Nursing","AIIMS B.Sc. (Hons.) Nursing Entrance Examination","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp","https://aiimsexams.ac.in/","https://aiimsexams.ac.in/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Faiims_logo.37b13df2.webp&w=256&q=75",""
"aiims-bsc-nursing-post-basic","AIIMS Post-Basic Nursing","AIIMS B.Sc. Nursing Post-Basic Entrance Examination","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp","https://aiimsexams.ac.in/","https://aiimsexams.ac.in/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Faiims_logo.37b13df2.webp&w=256&q=75",""
"aiims-bsc-paramedical","AIIMS B.Sc. Paramedical","AIIMS B.Sc. Allied and Health Care / Paramedical Entrance Examination","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp","https://aiimsexams.ac.in/","https://aiimsexams.ac.in/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Faiims_logo.37b13df2.webp&w=256&q=75",""
"aiims-msc-nursing","AIIMS M.Sc. Nursing","AIIMS Master of Science Nursing Entrance Examination","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp","https://aiimsexams.ac.in/","https://aiimsexams.ac.in/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Faiims_logo.37b13df2.webp&w=256&q=75",""
"ailet","AILET","All India Law Entrance Test","official_source_reviewed","/exam-logos/official-v1/b11ab4a1df56336b391defca.webp","https://nludelhi.ac.in/","https://nludelhi.ac.in/wp-content/uploads/2024/04/NLUD-Big-Logo.png",""
"aima-ugat","AIMA UGAT","AIMA Under Graduate Aptitude Test","official_source_reviewed","/exam-logos/official-v1/8b2c277b0c1419494158d6da.webp","https://www.aima.in/content/testing-and-assessment/ugat/information-to-candidates-for-ugat","https://www.aima.in/img/logo.png",""
"air-force-common-admission-test","AFCAT","Air Force Common Admission Test","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/73/7316ee188718c21dbc07a28620ec53b92088a19e1a8f780514acf0d8c9619485.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/73/7316ee188718c21dbc07a28620ec53b92088a19e1a8f780514acf0d8c9619485.webp",""
"amecet","AMECET","Aircraft Maintenance Engineering Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/b9d2d6b412cfed840e2e51e7.webp","https://www.amecet.in/","https://www.amecet.in/images/logo.png",""
"amulee","AMULEE","Aligarh Muslim University Law Entrance Exam","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp","https://www.amucontrollerexams.com/","https://www.amucontrollerexams.com/images/logo_nav.png",""
"aieed","AIEED","All India Entrance Examination for Design","official_source_reviewed","/exam-logos/official-v1/67df086253828e8d5b581275.webp","https://www.aieed.com/","https://www.aieed.com/images/arch-logo-2026.png",""
"allahabad-university-pgat","Allahabad University PGAT","Allahabad University Post Graduate Admission Test","official_source_reviewed","/exam-logos/official-v1/c7da75d98df1dfb220401961.webp","https://www.allduniv.ac.in/p/714/studentResult","https://www.allduniv.ac.in/assets/frontend/img/home/au_logo.png",""
"act","ACT","American College Testing","official_source_reviewed","/exam-logos/official-v1/d75071641448d928d70829b6.webp","https://www.act.org/content/act/en/products-and-services/the-act/registration/test-dates.html","https://www.act.org/etc/designs/act/clientlibs/act-base/img/logo-act-blue-300.png",""
"amity-jee","AMITY JEE","AMITY JEE","official_source_reviewed","/exam-logos/official-v1/d42ef28e2a5f52fa92b3a44c.webp","https://www.amity.edu/amityjee","https://www.amity.edu/images/logo.png",""
"amu-ba-llb","AMU B.A. LL.B.","Aligarh Muslim University B.A. LL.B. Admission Test","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp","https://www.amucontrollerexams.com/","https://www.amucontrollerexams.com/images/logo_nav.png",""
